,Pop_Lat,Pop_Lon,Population
0,-8.646249751164529,125.46958284523332,32
1,-8.646249751164529,125.47791617853332,32
2,-8.646249751164529,125.48624951183334,32
3,-8.646249751164529,125.49458284513334,33
4,-8.646249751164529,125.50291617843334,37
5,-8.646249751164529,125.51124951173333,57
6,-8.646249751164529,125.51958284503333,93
7,-8.65458308446453,125.43624951203331,196
8,-8.65458308446453,125.44458284533331,90
9,-8.65458308446453,125.45291617863332,36
10,-8.65458308446453,125.46124951193332,36
11,-8.65458308446453,125.46958284523332,38
12,-8.65458308446453,125.47791617853332,38
13,-8.65458308446453,125.48624951183334,41
14,-8.65458308446453,125.49458284513334,50
15,-8.65458308446453,125.50291617843334,60
16,-8.65458308446453,125.51124951173333,91
17,-8.65458308446453,125.51958284503333,93
18,-8.66291641776453,125.43624951203331,85
19,-8.66291641776453,125.44458284533331,50
20,-8.66291641776453,125.45291617863332,35
21,-8.66291641776453,125.46124951193332,32
22,-8.66291641776453,125.46958284523332,39
23,-8.66291641776453,125.47791617853332,40
24,-8.66291641776453,125.48624951183334,51
25,-8.66291641776453,125.49458284513334,58
26,-8.66291641776453,125.50291617843334,80
27,-8.66291641776453,125.51124951173333,190
28,-8.66291641776453,125.51958284503333,122
29,-8.67124975106453,125.40291617883334,33
30,-8.67124975106453,125.41958284543333,157
31,-8.67124975106453,125.42791617873333,198
32,-8.67124975106453,125.43624951203331,73
33,-8.67124975106453,125.44458284533331,75
34,-8.67124975106453,125.45291617863332,45
35,-8.67124975106453,125.46124951193332,50
36,-8.67124975106453,125.46958284523332,53
37,-8.67124975106453,125.47791617853332,42
38,-8.67124975106453,125.48624951183334,54
39,-8.67124975106453,125.49458284513334,66
40,-8.67124975106453,125.50291617843334,112
41,-8.67124975106453,125.51124951173333,173
42,-8.67124975106453,125.51958284503333,108
43,-8.67124975106453,125.52791617833331,97
44,-8.679583084364529,125.40291617883334,42
45,-8.679583084364529,125.41124951213334,78
46,-8.679583084364529,125.41958284543333,215
47,-8.679583084364529,125.42791617873333,111
48,-8.679583084364529,125.43624951203331,80
49,-8.679583084364529,125.44458284533331,86
50,-8.679583084364529,125.45291617863332,86
51,-8.679583084364529,125.46124951193332,65
52,-8.679583084364529,125.46958284523332,55
53,-8.679583084364529,125.47791617853332,52
54,-8.679583084364529,125.48624951183334,71
55,-8.679583084364529,125.49458284513334,81
56,-8.679583084364529,125.50291617843334,95
57,-8.679583084364529,125.51124951173333,125
58,-8.679583084364529,125.51958284503333,115
59,-8.679583084364529,125.52791617833331,104
60,-8.68791641766453,125.40291617883334,72
61,-8.68791641766453,125.41124951213334,60
62,-8.68791641766453,125.41958284543333,80
63,-8.68791641766453,125.42791617873333,72
64,-8.68791641766453,125.43624951203331,69
65,-8.68791641766453,125.44458284533331,78
66,-8.68791641766453,125.45291617863332,69
67,-8.68791641766453,125.46124951193332,59
68,-8.68791641766453,125.46958284523332,48
69,-8.68791641766453,125.47791617853332,49
70,-8.68791641766453,125.48624951183334,70
71,-8.68791641766453,125.49458284513334,83
72,-8.68791641766453,125.50291617843334,94
73,-8.68791641766453,125.51124951173333,103
74,-8.68791641766453,125.51958284503333,126
75,-8.69624975096453,125.31124951253334,55
76,-8.69624975096453,125.31958284583334,96
77,-8.69624975096453,125.33624951243333,145
78,-8.69624975096453,125.37791617893332,123
79,-8.69624975096453,125.38624951223332,181
80,-8.69624975096453,125.39458284553334,229
81,-8.69624975096453,125.40291617883334,137
82,-8.69624975096453,125.41124951213334,92
83,-8.69624975096453,125.41958284543333,101
84,-8.69624975096453,125.42791617873333,100
85,-8.69624975096453,125.43624951203331,94
86,-8.69624975096453,125.44458284533331,119
87,-8.69624975096453,125.45291617863332,111
88,-8.69624975096453,125.46124951193332,77
89,-8.69624975096453,125.46958284523332,64
90,-8.69624975096453,125.47791617853332,58
91,-8.69624975096453,125.48624951183334,72
92,-8.69624975096453,125.49458284513334,78
93,-8.69624975096453,125.50291617843334,74
94,-8.69624975096453,125.51124951173333,93
95,-8.69624975096453,125.51958284503333,158
96,-8.704583084264529,125.30291617923334,84
97,-8.704583084264529,125.31124951253334,119
98,-8.704583084264529,125.31958284583334,129
99,-8.704583084264529,125.32791617913333,172
100,-8.704583084264529,125.33624951243333,228
101,-8.704583084264529,125.34458284573331,230
102,-8.704583084264529,125.35291617903331,212
103,-8.704583084264529,125.36124951233332,166
104,-8.704583084264529,125.36958284563332,262
105,-8.704583084264529,125.37791617893332,112
106,-8.704583084264529,125.38624951223332,109
107,-8.704583084264529,125.39458284553334,115
108,-8.704583084264529,125.40291617883334,130
109,-8.704583084264529,125.41124951213334,117
110,-8.704583084264529,125.41958284543333,124
111,-8.704583084264529,125.42791617873333,138
112,-8.704583084264529,125.43624951203331,213
113,-8.704583084264529,125.44458284533331,177
114,-8.704583084264529,125.45291617863332,150
115,-8.704583084264529,125.46124951193332,90
116,-8.704583084264529,125.46958284523332,62
117,-8.704583084264529,125.47791617853332,56
118,-8.704583084264529,125.48624951183334,69
119,-8.704583084264529,125.49458284513334,87
120,-8.704583084264529,125.50291617843334,83
121,-8.704583084264529,125.51124951173333,93
122,-8.712916417564529,125.29458284593332,168
123,-8.712916417564529,125.30291617923334,158
124,-8.712916417564529,125.31124951253334,149
125,-8.712916417564529,125.31958284583334,181
126,-8.712916417564529,125.32791617913333,213
127,-8.712916417564529,125.33624951243333,251
128,-8.712916417564529,125.34458284573331,322
129,-8.712916417564529,125.35291617903331,300
130,-8.712916417564529,125.36124951233332,291
131,-8.712916417564529,125.36958284563332,364
132,-8.712916417564529,125.37791617893332,279
133,-8.712916417564529,125.38624951223332,220
134,-8.712916417564529,125.39458284553334,144
135,-8.712916417564529,125.40291617883334,125
136,-8.712916417564529,125.41124951213334,178
137,-8.712916417564529,125.41958284543333,91
138,-8.712916417564529,125.42791617873333,381
139,-8.712916417564529,125.43624951203331,927
140,-8.712916417564529,125.44458284533331,394
141,-8.712916417564529,125.45291617863332,255
142,-8.712916417564529,125.46124951193332,112
143,-8.712916417564529,125.46958284523332,54
144,-8.712916417564529,125.47791617853332,48
145,-8.72124975086453,125.28624951263332,223
146,-8.72124975086453,125.29458284593332,140
147,-8.72124975086453,125.30291617923334,148
148,-8.72124975086453,125.31124951253334,207
149,-8.72124975086453,125.31958284583334,246
150,-8.72124975086453,125.32791617913333,282
151,-8.72124975086453,125.33624951243333,284
152,-8.72124975086453,125.34458284573331,275
153,-8.72124975086453,125.35291617903331,270
154,-8.72124975086453,125.36124951233332,292
155,-8.72124975086453,125.36958284563332,283
156,-8.72124975086453,125.37791617893332,467
157,-8.72124975086453,125.38624951223332,461
158,-8.72124975086453,125.39458284553334,270
159,-8.72124975086453,125.40291617883334,200
160,-8.72124975086453,125.41124951213334,476
161,-8.72124975086453,125.41958284543333,372
