,Grid_Lat,Grid_Lon,is_built
0,-8.74642263484891,125.19750480851384,0
1,-8.755461150868014,125.19755784864245,0
2,-8.746369785888207,125.2065898310154,0
3,-8.75540824646792,125.20664308999196,0
4,-8.764446702417228,125.20669640612228,0
5,-8.74631671931296,125.21567479636995,0
6,-8.755355124225016,125.21572827418773,0
7,-8.764393524504092,125.21578180939407,0
8,-8.737225081482746,125.22470606530707,0
9,-8.74626343512978,125.2247597043427,0
10,-8.755301784145917,125.22481340099492,0
11,-8.764340128526495,125.22486715527052,0
12,-8.73717163581985,125.2337906970703,0
13,-8.746209933345307,125.23384455469883,0
14,-8.75524822623728,125.23389847017874,0
15,-8.764286514491092,125.2339524435168,0
16,-8.737117972790566,125.24287527098902,0
17,-8.746156213966215,125.24292934720364,0
18,-8.755194450505773,125.24298348150435,0
19,-8.764232682404568,125.24303767389809,0
20,-8.773270909657933,125.2430919243916,0
21,-8.73706409240158,125.25195978682842,0
22,-8.746102276999192,125.25201408162228,0
23,-8.755140456958099,125.25206843473704,0
24,-8.764178632273634,125.25212284617956,0
25,-8.773216802941109,125.25217731595666,0
26,-8.782254968955872,125.25223184407534,0
27,-8.727971862231602,125.26098978953628,0
28,-8.737009994659607,125.2610442443538,0
29,-8.746048122450961,125.26109875772003,0
30,-8.755086245600992,125.26115332964194,0
31,-8.764124364105019,125.26120796012634,0
32,-8.773162477958364,125.2612626491802,0
33,-8.782200587156359,125.26131739681038,0
34,-8.791238691694325,125.26137220302388,0
35,-8.727917604175225,125.27007397018212,0
36,-8.736955679571393,125.27012864333042,0
37,-8.745993750328276,125.2701833752622,0
38,-8.755031816441203,125.27023816598432,0
39,-8.764069877905492,125.27029301550374,0
40,-8.773107934716458,125.2703479238274,0
41,-8.782145986869436,125.2704028909622,0
42,-8.791184034359734,125.27045791691516,0
43,-8.800222077182683,125.27051300169316,0
44,-8.809260115333608,125.27056814530324,0
45,-8.727863129007563,125.27915809205146,0
46,-8.7369011471437,125.27921298352362,0
47,-8.745939160637912,125.27926793401396,0
48,-8.754977169485521,125.2793229435294,0
49,-8.764015173681845,125.2793780120769,0
50,-8.773053173222198,125.27943313966338,0
51,-8.782091168101905,125.27948832629588,0
52,-8.79112915831628,125.27954357198136,0
53,-8.800167143860648,125.27959887672677,0
54,-8.80920512473033,125.27965424053907,0
55,-8.818243100920641,125.27970966342538,0
56,-8.718770471447598,125.28818710436632,0
57,-8.727808436735407,125.28824215490954,0
58,-8.736846397383324,125.28829726469866,0
59,-8.745884353386666,125.28835243374064,0
60,-8.75492230474075,125.28840766204245,0
61,-8.763960251440894,125.28846294961104,0
62,-8.7729981934824,125.28851829645345,0
63,-8.7820361308606,125.2885737025766,0
64,-8.791074063570806,125.2886291679876,0
65,-8.80011199160833,125.2886846926934,0
66,-8.809149914968497,125.28874027670103,0
67,-8.818187833646618,125.2887959200175,0
68,-8.827225747638014,125.28885162264989,0
69,-8.836263656938005,125.28890738460518,0
70,-8.845301561541907,125.2889632058905,0
71,-8.854339461445042,125.28901908651282,0
72,-8.709677707579583,125.29721568075824,0
73,-8.718715619791508,125.2972708899032,0
74,-8.727753527365575,125.29732615852176,0
75,-8.736791430297092,125.29738148662084,0
76,-8.745829328581372,125.29743687420746,0
77,-8.754867222213733,125.29749232128869,0
78,-8.76390511118948,125.29754782787136,0
79,-8.772942995503922,125.29760339396267,0
80,-8.781980875152385,125.29765901956954,0
81,-8.791018750130176,125.29771470469905,0
82,-8.800056620432603,125.29777044935824,0
83,-8.80909448605499,125.29782625355408,0
84,-8.818132346992652,125.29788211729375,0
85,-8.827170203240891,125.2979380405842,0
86,-8.836208054795039,125.2979940234326,0
87,-8.8452459016504,125.29805006584594,0
88,-8.854283743802299,125.29810616783136,0
89,-8.863321581246046,125.29816232939596,0
90,-8.872359413976964,125.2982185505468,0
91,-8.881397241990362,125.29827483129104,0
92,-8.890435065281565,125.2983311716358,0
93,-8.709622697000048,125.30629918898786,0
94,-8.718660551272741,125.30635461596655,0
95,-8.727698400904908,125.30641010265342,0
96,-8.736736245891857,125.3064656490555,0
97,-8.745774086228892,125.3065212551798,0
98,-8.75481192191133,125.30657692103334,0
99,-8.763849752934478,125.30663264662316,0
100,-8.772887579293645,125.30668843195632,0
101,-8.781925400984143,125.30674427703988,0
102,-8.79096321800128,125.30680018188085,0
103,-8.800001030340367,125.30685614648633,0
104,-8.809038837996722,125.3069121708634,0
105,-8.81807664096565,125.30696825501916,0
106,-8.827114439242461,125.30702439896064,0
107,-8.836152232822476,125.307080602695,0
108,-8.845190021701002,125.30713686622936,0
109,-8.854227805873355,125.30719318957074,0
110,-8.863265585334844,125.30724957272636,0
111,-8.87230336008079,125.30730601570332,0
112,-8.881341130106506,125.30736251850873,0
113,-8.8903788954073,125.30741908114976,0
114,-8.70052966904903,125.3153270526467,0
115,-8.709567469792848,125.31538263751632,0
116,-8.718605265898164,125.31543828232168,0
117,-8.727643057360273,125.31549398706989,0
118,-8.736680844174487,125.31554975176792,0
119,-8.745718626336105,125.31560557642284,0
120,-8.754756403840437,125.31566146104171,0
121,-8.763794176682794,125.31571740563162,0
122,-8.772831944858469,125.3157734101996,0
123,-8.78186970836279,125.31582947475272,0
124,-8.790907467191046,125.31588559929811,0
125,-8.799945221338552,125.31594178384286,0
126,-8.808982970800624,125.31599802839403,0
127,-8.818020715572564,125.3160543329588,0
128,-8.827058455649674,125.31611069754425,0
129,-8.836096191027275,125.31616712215748,0
130,-8.845133921700674,125.31622360680564,0
131,-8.854171647665176,125.31628015149592,0
132,-8.863209368916102,125.3163367562354,0
133,-8.872247085448754,125.31639342103132,0
134,-8.881284797258447,125.31645014589076,0
135,-8.89032250434049,125.31650693082098,0
136,-8.899360206690199,125.31656377582912,0
137,-8.908397904302888,125.31662068092234,0
138,-8.944548647289666,125.31684890229056,0
139,-8.700474283613872,125.32441022365428,0
140,-8.709512025964864,125.32446602610896,0
141,-8.71854976367466,125.32452188873404,0
142,-8.727587496738568,125.32457781153649,0
143,-8.736625225151887,125.32463379452344,0
144,-8.74566294890992,125.32468983770195,0
145,-8.75470066800797,125.32474594107912,0
146,-8.76373838244134,125.324802104662,0
147,-8.772776092205333,125.32485832845772,0
148,-8.78181379729526,125.32491461247336,0
149,-8.79085149770642,125.32497095671606,0
150,-8.799889193434117,125.32502736119297,0
151,-8.80892688447366,125.32508382591114,0
152,-8.817964570820356,125.3251403508778,0
153,-8.827002252469507,125.3251969361,0
154,-8.836039929416422,125.325253581585,0
155,-8.845077601656406,125.32531028733987,0
156,-8.85411526918477,125.32536705337183,0
157,-8.86315293199682,125.32542387968807,0
158,-8.872190590087863,125.32548076629575,0
159,-8.88122824345321,125.32553771320208,0
160,-8.890265892088165,125.32559472041426,0
161,-8.899303535988043,125.32565178793948,0
162,-8.908341175148152,125.325708915785,0
163,-8.917378809563797,125.32576610395805,0
164,-8.935454064142952,125.32588066131554,0
165,-8.944491684297082,125.32593803051452,0
