Pop_Lat,Pop_Lon,Population,Hosp_Lat,Hosp_Lon,Hosp_Name,Distance_KM
-8.646249751164529,125.46958284523333,32,-8.7580191,125.2056292,Asulao-Sare,59
-8.646249751164529,125.47791617853333,32,-8.7580191,125.2056292,Asulao-Sare,61
-8.646249751164529,125.48624951183334,32,-8.7580191,125.2056292,Asulao-Sare,61
-8.646249751164529,125.49458284513334,33,-8.7580191,125.2056292,Asulao-Sare,63
-8.646249751164529,125.50291617843334,37,-8.7580191,125.2056292,Asulao-Sare,63
-8.646249751164529,125.51124951173333,57,-8.7580191,125.2056292,Asulao-Sare,64
-8.646249751164529,125.51958284503333,93,-8.7580191,125.2056292,Asulao-Sare,65
-8.65458308446453,125.43624951203333,196,-8.7580191,125.2056292,Asulao-Sare,56
-8.65458308446453,125.44458284533333,90,-8.7580191,125.2056292,Asulao-Sare,56
-8.65458308446453,125.45291617863333,36,-8.7580191,125.2056292,Asulao-Sare,58
-8.65458308446453,125.46124951193333,36,-8.7580191,125.2056292,Asulao-Sare,59
-8.65458308446453,125.46958284523333,38,-8.7580191,125.2056292,Asulao-Sare,59
-8.65458308446453,125.47791617853333,38,-8.7580191,125.2056292,Asulao-Sare,60
-8.65458308446453,125.48624951183334,41,-8.7580191,125.2056292,Asulao-Sare,61
-8.65458308446453,125.49458284513334,50,-8.7580191,125.2056292,Asulao-Sare,63
-8.65458308446453,125.50291617843334,60,-8.7580191,125.2056292,Asulao-Sare,62
-8.65458308446453,125.51124951173333,91,-8.7580191,125.2056292,Asulao-Sare,66
-8.65458308446453,125.51958284503333,93,-8.7580191,125.2056292,Asulao-Sare,66
-8.66291641776453,125.43624951203333,85,-8.7580191,125.2056292,Asulao-Sare,57
-8.66291641776453,125.44458284533333,50,-8.7580191,125.2056292,Asulao-Sare,56
-8.66291641776453,125.45291617863333,35,-8.7580191,125.2056292,Asulao-Sare,60
-8.66291641776453,125.46124951193333,32,-8.7580191,125.2056292,Asulao-Sare,60
-8.66291641776453,125.46958284523333,39,-8.7580191,125.2056292,Asulao-Sare,60
-8.66291641776453,125.47791617853333,40,-8.7580191,125.2056292,Asulao-Sare,60
-8.66291641776453,125.48624951183334,51,-8.7580191,125.2056292,Asulao-Sare,61
-8.66291641776453,125.49458284513334,58,-8.7580191,125.2056292,Asulao-Sare,66
-8.66291641776453,125.50291617843334,80,-8.7580191,125.2056292,Asulao-Sare,63
-8.66291641776453,125.51124951173333,190,-8.7580191,125.2056292,Asulao-Sare,64
-8.66291641776453,125.51958284503333,122,-8.7580191,125.2056292,Asulao-Sare,65
-8.67124975106453,125.40291617883334,33,-8.7580191,125.2056292,Asulao-Sare,56
-8.67124975106453,125.41958284543333,157,-8.7580191,125.2056292,Asulao-Sare,58
-8.67124975106453,125.42791617873333,198,-8.7580191,125.2056292,Asulao-Sare,57
-8.67124975106453,125.43624951203333,73,-8.7580191,125.2056292,Asulao-Sare,57
-8.67124975106453,125.44458284533333,75,-8.7580191,125.2056292,Asulao-Sare,58
-8.67124975106453,125.45291617863333,45,-8.7580191,125.2056292,Asulao-Sare,59
-8.67124975106453,125.46124951193333,50,-8.7580191,125.2056292,Asulao-Sare,60
-8.67124975106453,125.46958284523333,53,-8.7580191,125.2056292,Asulao-Sare,61
-8.67124975106453,125.47791617853333,42,-8.7580191,125.2056292,Asulao-Sare,61
-8.67124975106453,125.48624951183334,54,-8.7580191,125.2056292,Asulao-Sare,62
-8.67124975106453,125.49458284513334,66,-8.7580191,125.2056292,Asulao-Sare,66
-8.67124975106453,125.50291617843334,112,-8.7580191,125.2056292,Asulao-Sare,66
-8.67124975106453,125.51124951173333,173,-8.7580191,125.2056292,Asulao-Sare,64
-8.67124975106453,125.51958284503333,108,-8.7580191,125.2056292,Asulao-Sare,65
-8.67124975106453,125.52791617833333,97,-8.7580191,125.2056292,Asulao-Sare,68
-8.679583084364529,125.40291617883334,42,-8.7580191,125.2056292,Asulao-Sare,57
-8.679583084364529,125.41124951213334,78,-8.7580191,125.2056292,Asulao-Sare,57
-8.679583084364529,125.41958284543333,215,-8.7580191,125.2056292,Asulao-Sare,58
-8.679583084364529,125.42791617873333,111,-8.7580191,125.2056292,Asulao-Sare,58
-8.679583084364529,125.43624951203333,80,-8.7580191,125.2056292,Asulao-Sare,58
-8.679583084364529,125.44458284533333,86,-8.7580191,125.2056292,Asulao-Sare,58
-8.679583084364529,125.45291617863333,86,-8.7580191,125.2056292,Asulao-Sare,59
-8.679583084364529,125.46124951193333,65,-8.7580191,125.2056292,Asulao-Sare,61
-8.679583084364529,125.46958284523333,55,-8.7580191,125.2056292,Asulao-Sare,61
-8.679583084364529,125.47791617853333,52,-8.7580191,125.2056292,Asulao-Sare,62
-8.679583084364529,125.48624951183334,71,-8.7580191,125.2056292,Asulao-Sare,63
-8.679583084364529,125.49458284513334,81,-8.7580191,125.2056292,Asulao-Sare,63
-8.679583084364529,125.50291617843334,95,-8.7580191,125.2056292,Asulao-Sare,65
-8.679583084364529,125.51124951173333,125,-8.7580191,125.2056292,Asulao-Sare,65
-8.679583084364529,125.51958284503333,115,-8.7580191,125.2056292,Asulao-Sare,65
-8.679583084364529,125.52791617833333,104,-8.7580191,125.2056292,Asulao-Sare,68
-8.68791641766453,125.40291617883334,72,-8.7580191,125.2056292,Asulao-Sare,59
-8.68791641766453,125.41124951213334,60,-8.7580191,125.2056292,Asulao-Sare,59
-8.68791641766453,125.41958284543333,80,-8.7580191,125.2056292,Asulao-Sare,59
